lucode,load_n,load_type_n,load_p,load_type_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n
0,7.567710435,measured-runoff,0.05,measured-runoff,0.05,0.05,100,100,0.5
1,0.590024004,measured-runoff,0.05,measured-runoff,0.7,0.8,800,500,0.9
2,0,measured-runoff,0,measured-runoff,0.7,0.8,800,500,0.9
3,0.02098191,measured-runoff,0.05,measured-runoff,0.7,0.8,800,500,0.9
4,0.365381723,measured-runoff,0.05,measured-runoff,0.7,0.8,800,500,0.9
5,0.793956616,measured-runoff,0.1,measured-runoff,0.7,0.8,800,500,0.9
6,0.062132654,measured-runoff,0.1,measured-runoff,0.7,0.8,800,500,0.9
7,3.524792016,measured-runoff,0.1,measured-runoff,0.7,0.8,800,500,0.9
8,3.000711661,measured-runoff,0.1,measured-runoff,0.7,0.8,800,500,0.9
9,0.384409284,measured-runoff,0.05,measured-runoff,0.7,0.8,800,500,0.9
10,0.3022368,measured-runoff,0.1,measured-runoff,0.05,0.05,150,150,0.5
11,2.187926199,measured-runoff,1,measured-runoff,0.05,0.05,100,100,0.5
12,3.906363619,measured-runoff,0.2,measured-runoff,0.6,0.7,500,300,0.85
13,6.774612663,measured-runoff,0.9,measured-runoff,0.2,0.3,200,200,0.8
14,16.60906092,measured-runoff,0.15,measured-runoff,0.2,0.25,200,150,0.75
15,20.64167793,measured-runoff,1.8,measured-runoff,0.1,0.15,150,150,0.7
16,17.10222581,measured-runoff,1.8,measured-runoff,0.1,0.15,150,150,0.7
17,37.94886693,measured-runoff,1.5,measured-runoff,0.1,0.2,150,200,0.85
18,9.20184053,measured-runoff,0.9,measured-runoff,0.2,0.3,200,200,0.8
19,16.37040813,measured-runoff,1.1,measured-runoff,0.1,0.15,150,150,0.7
20,19.98237418,measured-runoff,1.1,measured-runoff,0.1,0.15,150,150,0.7
21,7.464230986,measured-runoff,0.9,measured-runoff,0.2,0.3,200,200,0.8
22,23.21999931,measured-runoff,1.5,measured-runoff,0.1,0.2,150,200,0.85
