lucode,Description,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D
1,Built up,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,76,85,89,91
2,Urban Park,1,1,1,1,1,1,1,1,1,1,1,1,49,69,79,84
5,Transport Inf,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,77,86,91,94
6,Mines & Dumps,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,77,86,91,94
10,Sand & Gravel,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,77,86,91,94
12,Landslide,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,77,86,91,94
14,Snow & Ice,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,77,86,91,94
15,Alpine Grass,1,1,1,1,1,1,1,1,1,1,1,1,49,69,79,84
16,Gravel & Rock,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,77,86,91,94
20,Lake & Pond,1,1,1,1,1,1,1,1,1,1,1,1,99,99,99,99
21,River,1,1,1,1,1,1,1,1,1,1,1,1,99,99,99,99
22,Estuarine,1,1,1,1,1,1,1,1,1,1,1,1,99,99,99,99
30,Cropland,0.75,0.75,0.4,0.3,0.7,0.7,1.15,1.15,0.5,0.4,0.3,0.3,67,78,85,89
33,Orchard & Vineyard,1,1,1,1,1,1,1,1,1,1,1,1,43,65,76,82
40,High Producing Grassland,1,1,1,1,1,1,1,1,1,1,1,1,49,69,79,84
41,Low Producing Grassland,1,1,1,1,1,1,1,1,1,1,1,1,49,69,79,84
43,Tussock Grassland,1,1,1,1,1,1,1,1,1,1,1,1,49,69,79,84
44,Depleted Grassland,1,1,1,1,1,1,1,1,1,1,1,1,49,69,79,84
45,Herbaceous Freshwater,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,36,60,73,79
46,Herbaceous Saline,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,36,60,73,79
47,Flaxland,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
50,Fernland,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
51,Gorse & Broom,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
52,Manuka & Kanuka,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
54,Broadleaved Indig,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
55,Sub Alpine Shrubland,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
56,Mixed Exotic Shrubland,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
58,Grey Scrub,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
64,Forest Harvested,1,1,1,1,1,1,1,1,1,1,1,1,43,65,76,82
68,Deciduous Hardwood,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
69,Indigenous Forest,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
70,Mangrove,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,36,60,73,79
71,Exotic Forest,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
0,Ocean,1,1,1,1,1,1,1,1,1,1,1,1,99,99,99,99
