cz_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,6.1,6.5,7.6,10.1,13.2,14.7,15.9,15.5,12.8,10.4,9.2,9.9
2,6.9,7.3,9,9.7,13.1,14,15,15.2,12.9,10.3,9.2,8.8
3,6.8,6.5,7.7,9.6,13,14.3,15.2,14.7,12.5,11.5,9.3,9
4,6.3,6.7,8.1,8.7,9.6,10.7,11.7,11.7,10.7,9.6,8.6,8.5
5,6.6,5.8,6.1,9.5,11.4,12.1,12.7,13.8,12.8,10.6,9,9.1
6,7.7,7.6,8.1,9.3,9.9,10.9,11.4,12.1,11,10.3,9.5,10.8
7,6.2,7.6,9,9.4,9.9,10.2,12.4,11.1,8.7,7.3,7.8,7.2
8,6.9,6.3,7.1,8.2,8.8,10.5,11.2,11.7,10.8,10.1,8.7,9.5
9,8.1,7.8,8.6,10.3,13.6,14.6,14.5,14.8,14.2,12.9,10.9,11.5
10,6.2,6.2,7.4,7.8,6.9,7.9,8.8,7.9,7.5,7.4,6.5,6.9
11,6.3,6.4,7.6,8.9,10,11.6,11.3,12.1,10.5,10.5,9.2,9.6
12,8.2,6.8,7.3,9.1,10.4,12,11.6,12.7,11.8,12.4,9.9,10.2
13,5.2,4.7,6.2,8.5,10.3,9.9,10.6,11.8,10.7,9.2,8.5,6.9
14,6.9,6.9,9.3,10.3,13.3,13.4,12.8,12.5,10.9,12.4,9.5,10
15,6.8,5.3,6.1,7.3,7.4,8.7,7.7,9.2,9.8,8.9,7.5,8.6
16,4.8,4.2,4.7,5.8,7,7.6,7.2,7.6,7.4,7.2,6.3,6.1
17,12,10.4,11.6,12.3,15.3,16.4,14.1,15.7,17,17.9,14.6,14.9
18,6.6,5.7,6.6,7.1,6.3,8.1,7.9,6.7,6.4,8.1,7,7.3
19,12.4,10.8,12.1,13.1,15,14.8,14.1,15.3,16.9,17.7,14.5,15.7
20,6,5.3,5.7,7.7,7.1,8.6,7.7,7.3,6.2,7.2,7,7
21,11.3,9,10,11.5,15.2,14.2,13.2,13.6,15,15.8,13.5,13.8
22,4.9,4.4,4.8,5.9,7.8,7.2,6.8,7.2,6.4,7.3,5.9,6.2
23,7.6,6,5.8,7.3,6.4,5.3,5,5.6,5.4,8.1,7.2,7
24,16.3,12.8,14.4,13.3,15.6,14.6,14.4,16,17.6,17.6,15.3,16.9
25,7.6,6.5,7.3,7.3,9.7,8.6,7.8,8.1,8.3,8.4,7.7,8.7
26,5.9,5.2,5.2,4.9,6.8,5.4,4.9,4.2,5,6.2,5.5,7
27,9.5,8,9.6,10.2,12.3,11.9,11.7,10.9,12,12.7,10.5,11
28,9.1,7.5,7.6,8,9.7,8.5,7.8,8.7,8.2,10.5,9.6,10.4
29,12.6,10.6,11.9,12.1,14.7,15.4,14.4,12.3,13.5,15.4,14.4,13.3
30,6.8,7,8.6,11.7,14.4,15.4,15.3,12.8,12,10.7,8.4,10.1
